0.265mfcc9+0.253mfcc15+0.249mfcc11-0.247zcr+0.245mfcc13...,-0.398rolloff-0.396spec_bw-0.378spec_cent+0.374mfcc2-0.299zcr...,-0.367mfcc17+0.334mfcc3-0.296mfcc16-0.296mfcc18+0.284mfcc5...,0.623rms+0.564mfcc1+0.242mfcc6+0.213mfcc8+0.192mfcc4...,0.426mfcc3-0.314mfcc11+0.284mfcc4-0.277mfcc12-0.27mfcc10...,-0.463mfcc19-0.453mfcc20+0.386mfcc14+0.315mfcc15+0.289mfcc13...,0.525chroma_stft+0.382mfcc13-0.334mfcc7+0.305mfcc20-0.224mfcc17...,0.642mfcc4+0.321mfcc6-0.298mfcc10-0.239mfcc5+0.224mfcc19...,0.468mfcc11+0.345mfcc3+0.315rms+0.312mfcc13-0.274mfcc7...,0.462mfcc6+0.336chroma_stft-0.301mfcc5-0.285mfcc7-0.263mfcc10...,0.685mfcc20-0.39mfcc19-0.316mfcc9-0.264chroma_stft+0.214mfcc15...,-0.488mfcc9+0.433mfcc8+0.412mfcc13-0.311mfcc12+0.248mfcc10...,-0.557mfcc12-0.429mfcc18+0.345chroma_stft-0.265mfcc4+0.252mfcc14...,-0.507mfcc11+0.477mfcc8+0.383mfcc14-0.287chroma_stft+0.267mfcc19...,'0.518mfcc9+0.366mfcc13-0.315mfcc14-0.303mfcc19+0.29 mfcc20...','0.61 mfcc10+0.36 mfcc15-0.295mfcc11-0.264mfcc16+0.242mfcc9...','-0.363mfcc15-0.352mfcc12+0.35 mfcc9-0.328mfcc7-0.319mfcc17...','0.49 mfcc5-0.482mfcc16+0.37 mfcc18+0.294mfcc15-0.289mfcc3...',-0.502mfcc7+0.462mfcc5-0.375mfcc18+0.215mfcc8+0.212mfcc19...,-0.539mfcc6+0.386mfcc8-0.362mfcc13-0.274mfcc16+0.242mfcc4...,class
1.149214,0.672827,-0.831427,-1.835641,1.232703,0.660181,-0.57663,-0.237792,1.000393,0.578344,-0.404157,-0.011556,0.990618,-0.477511,0.1973,0.327178,-0.211847,-0.330316,-0.080494,-0.158523,dog_bark
-1.933776,3.292121,-1.190051,-1.47995,2.044557,0.834597,0.625318,-0.551954,2.944267,0.885235,0.0359,-0.044452,-0.420642,-0.554458,-0.76579,-0.247026,0.347043,0.498841,-1.473221,-0.807358,dog_bark
0.394033,0.856731,-0.119284,-1.797226,0.885207,0.667772,-0.102316,-0.348993,1.249455,0.605466,-0.253623,-0.102961,0.489797,-1.136006,0.012699,-0.050268,-0.181879,-0.177787,-0.208508,0.087147,dog_bark
0.653249,-0.39907,-0.600452,-1.221196,-2.039777,0.518764,1.214175,-0.727534,0.113036,-0.600565,-0.213793,-1.257872,-0.657195,-0.182317,-0.056671,-0.719144,0.191993,-0.110848,-0.051333,0.319676,dog_bark
2.870794,-0.446402,-1.27755,-1.31419,1.992483,-0.699776,0.887771,0.076954,0.108548,0.207042,0.030287,-0.029846,0.538598,0.593525,-0.328543,0.640938,-0.091942,-0.060798,-0.565349,0.592301,gun_shot
1.124152,-0.91062,-0.099828,-1.807017,2.729729,-0.034788,-1.508497,0.216586,-0.002496,0.227529,0.781303,0.11156,0.02255,0.29381,-0.211806,0.280949,-0.293743,-0.262611,-0.233946,-0.167834,dog_bark
1.764003,-1.160605,-0.834149,-1.926609,1.676554,1.332884,-1.169476,-0.146214,0.000633,0.135323,0.902044,0.223916,0.002025,-0.368593,-0.71506,0.344615,-0.057617,-0.592692,-0.273578,-0.337225,dog_bark
1.650678,-1.932901,-0.16921,-1.907017,1.302013,1.17406,-0.960011,-0.054701,-0.004617,0.140427,0.442613,0.497648,-0.037037,-0.25323,-0.37129,0.443053,-0.043203,-0.403221,-0.345016,-0.174785,dog_bark
1.451565,-1.995995,-0.144735,-2.005177,1.095282,1.258511,-0.87424,-0.058791,0.068589,0.20809,0.543148,0.441418,-0.037128,-0.08273,-0.254487,0.181204,-0.229727,-0.518865,-0.317411,-0.113989,dog_bark
-1.055945,-1.574474,0.805876,-0.115052,0.093575,0.787341,1.089391,0.42944,-0.563769,0.727863,0.680173,-0.291172,0.452669,0.302888,0.256367,0.222859,-0.103555,0.017902,-0.253849,0.31518,jackhammer
-0.543299,-2.102845,0.729105,-0.174963,0.134556,0.924471,0.911132,0.402245,-0.761025,0.728587,0.564548,-0.2501,0.405589,0.310412,0.354907,-0.012275,-0.30779,-0.098914,-0.303778,0.495156,jackhammer
-0.141038,-2.217226,0.681918,-0.145157,-0.243067,1.135215,0.540143,0.382816,-0.825998,0.639226,0.860854,-0.234246,0.462878,0.435573,0.598284,0.170927,-0.255509,-0.312249,-0.062625,0.340374,jackhammer
-0.787898,-1.742789,0.951772,-0.223155,-0.029508,1.474884,0.52973,0.0098,-0.76726,0.598672,1.029698,-0.136271,0.288889,0.377169,0.353906,0.791108,-0.27799,0.026731,-0.206374,0.05033,jackhammer
-0.919549,-1.545372,0.921673,-0.281713,0.283735,1.330729,0.553618,0.088474,-0.689488,0.831578,0.759913,-0.28847,0.21013,0.231565,0.315892,0.399256,-0.171841,0.042038,-0.454139,0.379173,jackhammer
-1.031338,-1.922945,0.768059,-0.189921,0.150595,1.526792,0.794231,0.362315,-0.586527,0.965433,1.169043,-0.235077,0.143476,0.294999,0.382,0.325467,-0.129576,0.380071,-0.589136,0.430774,jackhammer
-1.101937,-2.080846,0.692378,-0.127628,0.140723,1.382289,0.796889,0.283231,-0.731085,1.101727,1.415051,-0.245175,-0.051462,0.560411,0.790794,0.509554,-0.325147,0.49786,-0.669303,0.431694,jackhammer
-1.236707,-1.945738,0.100183,-0.399595,0.675769,1.520501,0.659212,0.676835,-0.909968,0.955669,1.178747,-0.42329,0.134165,0.846397,0.619061,0.202564,-0.221525,0.363395,-0.542445,0.294611,jackhammer
-1.113678,-1.698565,0.232828,-0.594763,1.135306,1.720437,0.751729,0.407528,-0.9049,0.879841,1.341975,-0.479796,0.235664,0.775111,0.730719,-0.068046,-0.011034,0.239423,-0.510545,0.392185,jackhammer
-0.604112,-1.427284,0.828434,-0.617418,1.160672,1.651182,1.01259,0.020292,-0.826809,0.742676,1.149242,-0.521469,0.206888,1.010466,0.517796,0.240732,0.158987,0.56184,-0.561246,0.251672,jackhammer
-0.965225,-1.64446,0.477014,-0.241732,0.057918,1.267149,1.151808,0.413353,-0.645788,0.499171,0.56478,0.146716,0.140017,0.91608,0.090992,0.608912,-0.130014,0.044322,-0.187862,0.115539,jackhammer
-1.485788,-2.20821,1.128415,-0.243844,-0.013,1.595825,0.752284,0.081538,-0.772775,0.623775,1.72329,0.16575,0.334516,0.685793,1.579536,0.4126,0.077172,0.056935,-0.100485,-0.038771,jackhammer
-1.165913,-2.258197,1.217676,-0.267458,0.338038,1.487818,0.950621,0.223721,-0.753388,0.592782,1.788695,0.074094,0.445991,0.853094,1.19761,-0.019062,0.326509,0.116994,-0.559868,0.070935,jackhammer
-1.036134,-2.414725,1.056776,-0.360866,0.706734,1.667665,0.835163,0.082981,-0.814607,0.716287,1.728679,0.017211,0.247473,0.69603,1.039114,-0.259014,0.417688,-0.077475,-0.51753,0.221289,jackhammer
-0.886371,-2.184446,1.033255,-0.399231,0.660824,1.832873,0.894402,0.373304,-0.727618,0.849093,1.492457,-0.524482,0.169144,1.285418,1.149436,-0.536275,0.124819,0.175142,-0.052339,0.609475,jackhammer
-1.13677,-2.051497,1.047193,-0.419578,-0.366267,1.866635,0.639849,-0.178926,-0.617405,0.530972,1.115322,-0.054569,-0.100643,-0.3281,1.204935,0.455885,0.045771,-0.557883,-0.047826,0.519462,jackhammer
-1.09352,-2.585086,1.252799,-0.378207,-0.063301,1.451289,0.609955,-0.36884,-0.550307,0.623785,1.323683,-0.1276,-0.514149,0.134332,1.390633,0.407433,-0.251991,-0.221621,0.224266,0.389584,jackhammer
-1.45418,-2.674018,1.334289,-0.193105,0.24479,0.918129,0.438484,-0.083319,-0.365352,0.874806,1.681344,-0.302491,-0.301846,0.051259,1.194235,0.12487,-0.06133,0.009265,0.307577,0.341888,jackhammer
-1.218296,-2.595658,1.230612,-0.303519,0.471037,0.606533,0.388439,-0.183631,-0.138988,0.764731,2.139078,-0.258144,-0.405729,0.316525,1.325834,0.080955,-0.039403,0.076566,0.103345,0.563123,jackhammer
