,0.265mfcc9+0.253mfcc15+0.249mfcc11-0.247zcr+0.245mfcc13...,-0.398rolloff-0.396spec_bw-0.378spec_cent+0.374mfcc2-0.299zcr...,-0.367mfcc17+0.334mfcc3-0.296mfcc16-0.296mfcc18+0.284mfcc5...,0.623rms+0.564mfcc1+0.242mfcc6+0.213mfcc8+0.192mfcc4...,0.426mfcc3-0.314mfcc11+0.284mfcc4-0.277mfcc12-0.27mfcc10...,-0.463mfcc19-0.453mfcc20+0.386mfcc14+0.315mfcc15+0.289mfcc13...,0.525chroma_stft+0.382mfcc13-0.334mfcc7+0.305mfcc20-0.224mfcc17...,0.642mfcc4+0.321mfcc6-0.298mfcc10-0.239mfcc5+0.224mfcc19...,0.468mfcc11+0.345mfcc3+0.315rms+0.312mfcc13-0.274mfcc7...,0.462mfcc6+0.336chroma_stft-0.301mfcc5-0.285mfcc7-0.263mfcc10...,0.685mfcc20-0.39mfcc19-0.316mfcc9-0.264chroma_stft+0.214mfcc15...,-0.488mfcc9+0.433mfcc8+0.412mfcc13-0.311mfcc12+0.248mfcc10...,-0.557mfcc12-0.429mfcc18+0.345chroma_stft-0.265mfcc4+0.252mfcc14...,-0.507mfcc11+0.477mfcc8+0.383mfcc14-0.287chroma_stft+0.267mfcc19...,'0.518mfcc9+0.366mfcc13-0.315mfcc14-0.303mfcc19+0.29 mfcc20...','0.61 mfcc10+0.36 mfcc15-0.295mfcc11-0.264mfcc16+0.242mfcc9...','-0.363mfcc15-0.352mfcc12+0.35 mfcc9-0.328mfcc7-0.319mfcc17...','0.49 mfcc5-0.482mfcc16+0.37 mfcc18+0.294mfcc15-0.289mfcc3...',-0.502mfcc7+0.462mfcc5-0.375mfcc18+0.215mfcc8+0.212mfcc19...,-0.539mfcc6+0.386mfcc8-0.362mfcc13-0.274mfcc16+0.242mfcc4...,class
0,3.699825,1.568401,-2.086139,-1.399692,-2.167203,1.282686,2.44489,-0.146418,0.840339,-0.263205,1.858584,-0.585318,-0.056126,1.785686,-0.305413,-0.468808,0.214515,0.846481,0.132185,-1.450976,dog_bark
1,-1.260896,1.426935,0.187247,-2.715156,-0.902886,1.457919,0.657635,0.103398,0.337874,0.163063,-0.269689,0.53115,0.238147,-0.330526,0.017635,0.152994,-0.799323,-0.060761,-0.430825,0.08039,dog_bark
2,-0.522894,0.11744,-5.56138,4.076931,1.734597,0.651928,-0.59024,-1.007033,2.01657,-0.892619,-1.129204,-1.023042,-0.841192,-0.363887,0.084115,0.207832,0.074773,-0.940879,-0.269532,0.246132,dog_bark
3,0.938042,1.451642,-1.726149,-3.110134,-0.33688,1.556305,0.17971,-0.580332,1.137522,0.502995,-0.211633,0.352694,0.49391,0.565058,0.129337,0.530395,-0.366661,-0.346352,-0.265328,0.512598,dog_bark
4,-3.904383,0.342769,0.106566,-0.79589,0.408346,-0.901713,0.569231,-0.937163,0.965582,0.319059,0.360097,-0.32616,-0.095823,-0.386151,-0.314226,0.204018,0.708562,-0.75503,-0.324179,0.168042,dog_bark
5,2.950306,-1.139541,-1.439706,0.567467,-1.130493,-0.828003,-0.653228,0.931806,-0.590698,0.652985,-0.173729,-0.523159,1.128791,-1.054449,0.219959,-0.601799,0.189356,0.116299,-0.580784,-0.570116,dog_bark
6,2.107331,0.601926,0.576904,-2.145773,0.96062,-0.282767,1.15819,-0.082816,0.410623,0.669608,0.206961,0.013132,0.088854,-0.08399,-0.597743,0.114785,-0.191721,-0.257352,-0.863848,0.21127,dog_bark
7,-2.21324,2.004081,1.590176,-1.962128,-0.036852,-0.368968,0.560438,-0.735316,-0.098888,1.101769,0.240029,0.085488,0.693965,-0.245161,0.09152,0.048974,-0.627278,-0.152947,-1.232331,0.059849,dog_bark
8,-2.562878,-1.357784,0.939015,-2.003722,0.179735,-0.493673,0.446283,-0.432943,-0.403934,0.549383,-0.37324,0.375395,0.662295,-0.732533,0.274316,0.250209,-0.361743,0.29013,0.042519,-0.027598,dog_bark
9,3.449328,-0.54649,-0.543557,0.710878,-0.742941,0.571856,0.256774,0.396499,0.216523,0.34332,0.674959,0.067246,-0.440056,-0.998246,-0.961021,0.011214,0.051863,0.036293,-0.657156,-0.067012,dog_bark
10,1.70575,1.910262,-0.000845,-1.929589,-1.574833,3.418789,1.561082,0.370706,0.897441,-0.302742,0.314276,-1.071929,-2.399149,-0.75142,-0.748798,-1.318381,0.403775,-0.693959,1.603595,-1.65932,dog_bark
11,2.882311,-0.037317,0.709168,-0.483619,0.622178,-0.209136,0.568636,-0.47706,-0.164656,0.482761,-0.329663,0.146464,0.42366,-0.572929,0.184907,-0.214858,0.176359,0.138593,-0.106025,-0.327357,dog_bark
12,-3.870464,3.158387,-0.258323,-2.29294,1.026412,2.919877,-0.250233,-0.312751,0.529731,-0.078174,0.46522,0.660536,1.155291,-0.659923,0.636493,0.606681,0.098987,0.092598,0.41771,-0.594685,dog_bark
13,0.701625,1.693198,0.257512,-0.479769,-0.703081,-0.36028,1.021282,-0.187406,0.934572,1.072496,-1.01216,-0.546741,0.124549,-0.469934,-0.357543,0.079885,0.595571,-0.502713,0.447881,-0.59119,dog_bark
14,-1.158116,-2.345416,-2.144523,-1.219755,-0.82582,0.745109,0.360877,-0.813752,-0.698042,0.638435,-0.16989,0.344586,-0.129526,-0.482999,0.12462,-0.55547,-0.134028,-0.292758,0.221323,0.428885,dog_bark
15,-1.283688,1.962173,-1.029774,-0.34225,2.201356,0.479752,0.970631,0.659788,1.942062,-0.598944,0.067233,-0.599467,-0.296548,-0.834257,-0.658332,0.198949,0.117634,-0.674867,-0.558066,-1.509432,dog_bark
16,0.837388,-0.669583,-0.103276,-1.289776,1.198164,0.685604,-0.515345,-0.386452,0.469303,0.094997,0.562447,-0.191406,-0.022981,-0.065447,-0.258964,0.025386,-0.163165,-0.844366,-0.465696,-0.240277,dog_bark
17,0.483796,1.129121,0.555582,-0.56969,-0.506985,-0.486801,0.806144,-0.300527,0.403658,1.333376,-0.446878,-0.348685,-0.045822,-0.283176,-0.171237,0.219289,0.577172,-0.552675,0.203986,-0.131164,dog_bark
18,0.245934,1.492155,0.49469,-1.531244,-0.545515,-0.415215,0.694554,-0.856642,0.160274,1.178157,-0.520929,-0.089113,-0.129624,0.979283,-1.084981,0.955871,0.420658,-0.590101,0.325021,0.036468,dog_bark
19,3.353053,1.079415,1.614167,-0.084146,0.01089,0.437426,0.116084,0.20535,0.753863,1.804486,0.999526,1.516926,0.145307,-0.832454,1.05974,-0.119494,0.884258,0.212296,-0.337374,-0.025687,dog_bark
20,0.893469,-0.190411,-0.096493,-2.489663,-0.639676,-1.480728,0.366723,-0.240427,0.406868,0.207009,-0.425786,0.052129,0.120653,-0.520405,0.657504,0.846598,-0.221254,-0.585358,0.4068,0.079194,dog_bark
21,1.746205,1.421648,-1.577046,-1.09525,1.139383,-0.065746,-0.842336,-0.295886,-0.393785,1.692308,0.188555,-1.141871,0.81048,0.663026,-0.110384,-1.007878,-0.494629,0.178956,1.308307,-0.564954,dog_bark
22,2.44203,2.009106,-0.987183,-2.080956,-0.088246,2.640031,1.091962,0.643901,0.750447,-0.225549,0.271203,-0.549602,-1.45005,0.689569,0.549263,-0.483468,-0.584491,0.09395,0.557088,-1.050455,dog_bark
23,0.641147,2.101991,-0.69422,-2.251146,-0.994568,2.406431,0.872016,-0.149134,1.218953,0.326297,0.465975,-0.474956,0.845003,0.533622,-1.085393,0.152077,-0.139865,0.479971,-0.728119,-0.364923,dog_bark
24,2.61648,-1.010237,0.04005,-1.001783,0.399697,1.534984,0.667493,-0.042057,-0.342171,-0.239066,0.254097,0.737858,0.750808,0.789207,-0.044524,0.771247,0.705259,0.590526,-0.10476,-0.837459,dog_bark
25,0.21201,0.983443,-1.822503,-0.950632,-1.961738,-0.792488,1.224349,-0.841569,0.768597,-1.154124,-0.413804,0.657875,-0.82351,-2.483109,-0.072627,-0.203053,0.522806,0.414266,1.466148,0.744621,dog_bark
26,3.168688,0.701432,-2.457712,-1.818554,-1.261172,2.173618,1.511809,-0.875624,1.216328,-0.788137,-0.357287,0.69423,0.083325,0.596882,0.132931,0.11968,0.058661,0.818562,1.045127,-0.269018,dog_bark
27,2.613611,1.149012,0.921704,0.642189,-0.513308,0.463369,0.284319,-0.683727,-0.27824,-0.04861,-0.217558,0.070084,0.212267,-0.612029,0.043327,0.332446,0.2002,-0.187132,0.152341,-0.009473,dog_bark
28,0.566425,0.662953,0.524426,-1.389315,1.406354,0.811151,-1.010816,-0.81168,-0.348447,0.07914,0.436989,0.58023,0.306916,-0.81973,0.038307,-0.263479,-0.088369,0.035154,1.210144,0.069671,dog_bark
29,-1.920301,2.473571,-0.111277,-2.474887,0.444933,0.317801,-0.192305,-0.674698,0.846962,0.60327,-0.96269,-0.630909,0.905731,-0.949893,-0.092189,1.351554,-0.16063,-0.757213,-0.220877,0.329905,dog_bark
30,0.0587,1.854978,-1.074606,-0.144477,-1.863745,-1.145884,1.050607,-0.829413,1.718583,-1.232938,-1.012387,-0.208383,-0.87127,-0.890838,-1.323013,1.380709,1.471443,-0.694085,0.442434,0.536523,dog_bark
31,-4.165548,0.966332,-0.034101,-0.270423,0.145788,-0.423167,-0.372215,-1.028416,0.244847,0.892762,-0.099142,-0.607953,0.317888,-0.51233,0.140826,0.432191,0.412593,-1.065042,0.109661,0.256732,dog_bark
32,-0.407196,1.409952,-3.489627,2.02013,-0.139142,1.73085,1.446091,-1.671954,1.693115,-1.343494,0.041235,-1.009802,0.173802,0.098821,0.258662,-0.11207,-0.225432,0.282314,0.607923,-0.287639,dog_bark
33,0.032371,0.676976,-0.437408,-2.347119,0.867463,-0.076887,0.882443,0.147338,1.385703,0.541064,-0.239318,-0.664501,0.147335,0.137675,-0.148688,-0.159915,-0.734933,0.294022,-0.517996,0.225035,dog_bark
34,-1.9542,3.284561,-0.425128,-2.739503,0.237044,-0.746414,0.29367,-0.057233,1.691529,0.787776,-0.707687,-0.549264,-0.323789,0.133803,0.177108,0.355531,-0.380421,-0.642796,-1.096755,0.017691,dog_bark
35,0.42502,-7.379691,1.831221,-2.440958,-0.265693,0.70683,-1.625271,-2.411796,1.026679,-2.81224,-0.32425,-0.371675,0.127277,-0.460297,0.835595,-0.432892,-0.608162,0.770677,-0.368262,-0.313377,dog_bark
36,5.30252,0.802482,-4.456532,0.543975,2.000989,-2.170123,0.658337,0.108639,3.00935,-0.402937,0.307276,0.289418,-0.558437,-1.337246,-0.412789,-1.532476,-1.37089,-2.016781,0.721658,0.624587,dog_bark
37,1.358016,0.517416,-3.872778,-1.126229,-0.315805,0.922423,-0.817524,-1.291742,-0.191806,1.080732,-0.173435,-0.49228,0.118539,-0.259236,0.048752,1.021109,1.439487,-0.429516,0.813376,0.434802,dog_bark
38,1.273046,-1.135043,0.586697,-1.622639,0.98737,1.91247,0.200892,1.798522,1.916839,-0.151599,-2.499059,-1.486199,3.011886,-0.9076,0.778141,-2.341682,2.963228,-1.969202,-0.577799,0.297326,dog_bark
39,-0.713845,0.963624,-1.457733,-2.808144,0.940741,-0.37702,-0.958827,0.104971,0.701781,1.353469,-0.035475,-0.168518,1.706335,-0.014049,0.225666,-0.17895,-0.306733,-0.796723,0.420058,0.07216,dog_bark
40,-0.778387,1.58651,-1.653757,-1.125725,-1.160121,1.00079,0.014856,0.421746,0.043683,-0.58946,2.177843,-0.894148,0.420796,-1.989607,-0.2309,0.352987,0.054138,-0.367997,0.355123,-0.026367,dog_bark
41,-0.362759,1.569156,-5.757193,-1.269819,2.05934,-1.117155,2.180147,0.339785,0.561685,1.357912,1.049956,-2.375184,0.530678,0.522488,-1.642721,-1.306398,0.202205,-1.305179,2.092769,-0.986124,dog_bark
